trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.3, 'e': 0.7235697791884493}",25,0,-35.16401999424944,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.3, 'e': 0.7181262977631889}",20,4,-66.36354760729088,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 1}",1
99,False,"{'a': 0.3, 'e': 0.7126385189252054}",25,5,-81.24868189430457,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
100,False,"{'a': 0.3, 'e': 0.7071067811865476}",30,11,-38.948854316062544,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.3, 'e': 0.7015314257708558}",20,7,-49.62035802538606,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.6959127965923143}",25,7,-57.629115697171265,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.3, 'e': 0.6902512402344372}",25,0,-23.114994400971696,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
104,False,"{'a': 0.3, 'e': 0.6845471059286886}",25,0,-40.846123277655174,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.3, 'e': 0.6788007455329418}",25,0,-82.44831320069986,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
106,False,"{'a': 0.3, 'e': 0.6730125135097733}",20,4,-9.707958971506795,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.6671827669045997}",20,0,-88.23650410219587,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
108,False,"{'a': 0.3, 'e': 0.6613118653236519}",35,20,-54.42551620711464,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.3, 'e': 0.655400170911794}",20,9,-18.539619454558938,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.6494480483301837}",30,3,-135.02397625495405,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 2}",1
111,False,"{'a': 0.3, 'e': 0.6434558647337789}",25,0,-97.30709276403644,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",1
112,False,"{'a': 0.3, 'e': 0.6374239897486897}",20,10,16.169034625278258,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.6313527954493777}",35,2,-20.41617054674039,"{0: 30, 1: 0, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.3, 'e': 0.6252426563357052}",25,0,-76.95955855103718,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
115,False,"{'a': 0.3, 'e': 0.619093949309834}",25,0,-116.53371841936648,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
116,False,"{'a': 0.3, 'e': 0.6129070536529765}",20,0,-74.49326533017857,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
117,False,"{'a': 0.3, 'e': 0.6066823510019997}",20,16,6.1265417894364465,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.6004202253258841}",25,0,-74.42657628402384,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
119,False,"{'a': 0.3, 'e': 0.5941210629020386}",25,10,8.725922363186578,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.5877852522924732}",20,11,-7.955833474205181,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.5814131843198306}",30,0,-80.7753902087671,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
122,False,"{'a': 0.3, 'e': 0.5750052520432786}",20,0,-31.47873242143505,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
123,False,"{'a': 0.3, 'e': 0.568561850734264}",25,7,5.1055883595971885,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.5620833778521307}",25,1,-31.1455740130515,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.5555702330196024}",20,0,-9.478253906887367,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
126,False,"{'a': 0.3, 'e': 0.5490228179981317}",20,9,7.127612161668225,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.5424415366631188}",20,6,-7.998138410987694,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.5358267949789965}",20,0,-80.35041476476073,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
129,False,"{'a': 0.3, 'e': 0.5291790009741906}",30,0,-106.34828130695003,"{0: 23, 1: 4, 2: 0, 3: 0, 4: 3}",0
130,False,"{'a': 0.3, 'e': 0.5224985647159489}",25,0,-49.18907295911009,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
131,False,"{'a': 0.3, 'e': 0.5157858982850475}",20,0,-18.94924335242275,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.3, 'e': 0.5090414157503712}",30,0,-55.11613566945998,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
133,False,"{'a': 0.3, 'e': 0.5022655331433725}",25,3,6.14972824126023,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.49545866843240755}",30,16,-90.88040792017503,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
135,False,"{'a': 0.3, 'e': 0.48862124149695496}",25,9,-78.89470187803879,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
136,False,"{'a': 0.3, 'e': 0.48175367410171516}",20,0,-9.934625300145544,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.3, 'e': 0.47485638987059453}",30,23,-7.6833118921482075,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.46792981426057334}",30,14,-54.440515655846404,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.46097437453546236}",20,0,-40.775418925198345,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
140,False,"{'a': 0.3, 'e': 0.45399049973954686}",35,16,-24.55981713940826,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.3, 'e': 0.4469786206711212}",25,6,-25.02311149914734,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.4399391698559151}",20,0,-16.954715763491116,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
143,False,"{'a': 0.3, 'e': 0.4328725815204139}",25,0,-87.56402730978434,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
144,False,"{'a': 0.3, 'e': 0.42577929156507266}",20,11,15.684014457927542,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.41865973753742813}",25,0,-21.99578832043094,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
146,False,"{'a': 0.3, 'e': 0.4115143586051089}",30,0,-78.73255082897418,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
147,False,"{'a': 0.3, 'e': 0.40434359552874494}",20,7,-47.774569154481384,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
148,False,"{'a': 0.3, 'e': 0.39714789063478056}",25,3,-62.249285221599244,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
149,False,"{'a': 0.3, 'e': 0.38992768778818826}",25,11,3.3801492014048877,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.38268343236508984}",25,0,20.073385974297207,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.3, 'e': 0.37541557122528313}",25,2,-25.560878656752994,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.3681245526846781}",20,8,13.870599200169632,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.3, 'e': 0.36081082648764173}",20,0,-46.68776069332293,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
154,False,"{'a': 0.3, 'e': 0.35347484377925714}",20,8,-2.477450948494729,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.3, 'e': 0.346117057077493}",25,7,4.8709951628369925,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.3387379202452915}",20,12,10.688633239938998,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.3313378884625711}",20,7,7.314942606884187,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.3239174181981494}",25,16,-26.29033139075959,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.3, 'e': 0.31647696718158613}",25,18,7.2454255937260825,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.30901699437494745}",25,5,-20.862101789196615,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.3015379599444958}",20,5,-20.740082163264827,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.3, 'e': 0.2940403252323041}",20,11,-46.46885496387345,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
163,False,"{'a': 0.3, 'e': 0.2865245527277985}",25,11,2.5672808713761017,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
